,data.1,engorgement,stage,host,species,depth,host.temp
1,0.23,0.046,adult female,Dog,Western Blacklegged,61.5,101.0555556
2,0.21,0.042,adult male,Dog,Rocky Mountain Wood,59.8,100.8666667
3,0.23,0.046,larvae,Dog,Gulf Coast,56.9,100.5444444
4,0.29,0.058,adult male,Cat,Groundhog,62.4,101.1555556
5,0.31,0.062,larvae,Deer,Western Blacklegged,63.3,101.2555556
6,0.24,0.048,nymph,Deer,Brown Dog,62.8,101.2
7,0.24,0.048,nymph,Cat,American Dog,62.3,101.1444444
8,0.26,0.052,nymph,Fox,Rocky Mountain Wood,61.9,101.1
9,0.22,0.044,eggs,Dog,Groundhog,65.1,101.4555556
10,0.23,0.046,nymph,Fox,Gulf Coast,59.4,100.8222222
11,0.3,0.06,larvae,Deer,Rocky Mountain Wood,64,101.3333333
12,0.23,0.046,adult female,Deer,Gulf Coast,62.8,101.2
13,0.22,0.044,adult male,Racoon,Rocky Mountain Wood,60.4,100.9333333
14,0.31,0.062,adult female,Deer,Western Blacklegged,62.2,101.1333333
15,0.2,0.04,adult male,Dog,Western Blacklegged,60.2,100.9111111
16,0.32,0.064,adult male,Dog,Lone Star,60.9,100.9888889
17,0.3,0.06,adult female,Cat,Western Blacklegged,62,101.1111111
18,0.3,0.06,larvae,Deer,Rocky Mountain Wood,63.4,101.2666667
19,0.3,0.06,larvae,Deer,Rocky Mountain Wood,63.8,101.3111111
20,0.3,0.06,nymph,Deer,Rocky Mountain Wood,62.7,101.1888889
21,0.3,0.06,larvae,Cat,Western Blacklegged,63.3,101.2555556
22,0.23,0.046,nymph,Dog,Groundhog,63.8,101.3111111
23,0.23,0.046,nymph,Fox,Gulf Coast,61,101
24,0.31,0.062,nymph,Deer,Rocky Mountain Wood,59.4,100.8222222
25,0.31,0.062,nymph,Deer,Rocky Mountain Wood,58.1,100.6777778
26,0.23,0.046,nymph,Bird,Brown Dog,60.4,100.9333333
27,0.24,0.048,adult male,Cat,Gulf Coast,62.5,101.1666667
28,0.3,0.06,nymph,Deer,Groundhog,62.2,101.1333333
29,0.23,0.046,nymph,Squirrel,Groundhog,60.5,100.9444444
30,0.23,0.046,nymph,Racoon,Gulf Coast,60.9,100.9888889
31,0.23,0.046,nymph,Racoon,Gulf Coast,60,100.8888889
32,0.23,0.046,nymph,Racoon,Gulf Coast,59.8,100.8666667
33,0.23,0.046,nymph,Dog,Gulf Coast,60.7,100.9666667
34,0.23,0.046,nymph,Dog,Gulf Coast,59.5,100.8333333
35,0.23,0.046,nymph,Squirrel,Gulf Coast,61.9,101.1
36,0.23,0.046,larvae,Racoon,Gulf Coast,58.2,100.6888889
37,0.23,0.046,larvae,Dog,Gulf Coast,64.1,101.3444444
38,0.31,0.062,larvae,Fox,Rocky Mountain Wood,64,101.3333333
39,0.26,0.052,nymph,Squirrel,Groundhog,60.8,100.9777778
40,0.33,0.066,adult female,Cat,Western Blacklegged,61.8,101.0888889
41,0.33,0.066,adult female,Cat,Western Blacklegged,61.2,101.0222222
42,0.33,0.066,adult female,Deer,Rocky Mountain Wood,61.1,101.0111111
43,0.26,0.052,larvae,Squirrel,Groundhog,65.2,101.4666667
44,0.26,0.052,larvae,Squirrel,Gulf Coast,58.4,100.7111111
45,0.32,0.064,larvae,Fox,Western Blacklegged,63.1,101.2333333
46,0.29,0.058,adult male,Racoon,Rocky Mountain Wood,62.4,101.1555556
47,0.32,0.064,nymph,Fox,Western Blacklegged,61.8,101.0888889
48,0.32,0.064,larvae,Fox,Western Blacklegged,63.8,101.3111111
